מְשַׁעְמֵם	mesha'amèm	boring
עיתונאי		reporter, journalist
התנגדות		resistance
קֶצֶב	kètzev	rhythm, pace, speed, rate
רכיבה		riding
נִפְרָד		separate, individual
שיתוף		sharing
צדדי		side
מְהִירוּת הָאוֹר		speed of light
עַמוּד הַשִׁדרָה		spine
מְרַגֵל		spy
בָּמָה	bamà	stage, platform, podium
כֶּתֶם	kètem	stain
מִנּוּי	minùy	subscription
בטטה		sweet potato
סוּריָה		Syria
גנב		thief
אֲגוּדָל	agudàl	thumb
טְבֶרְיָה		Tiberias
לְפַחֵד		to fear
לְהַזְכִּיר		to remind
לִדְמוֹת		to resemble, be like smth
מְטַייֵּל		tourist
מִגְדָל דוד		tower of David
בֵּית דִין		tribunal
המַעֲמָד העֶלְיוֹן		upper class
מַפָּל	mapàl	waterfall
חוּלְשָׁה	chulshà	weakness
חָתִיךְ	chatìch	well build man, handsome
חֲתִיכָה	chatichà	well build woman
רָטוֹב	ratòv	wet
כִּיסֵּא גַּלְגַּלִּים		wheelchair
לָחַשׁ	lachàsh	whisper
הִסְפִּיק	hispìk	he succeeded, managed
קרוב לוודַאי		almost certainly
אומנם		although, indeed, truly
מַדְהִים	madhìm	amazing, incredible
אַדִּיר	adìr	awesome; huge, mighty, great, powerful
לִפְנֵי כֵּן		before that
סְנִיף	snìf	branch (office)
פְּרִיצַת דרך		breakthrough
חזה		chest
כרטיס אשראי		credit card
לָקוֹחַ	lakòach	customer, client
מָחוֹז		district, province
מַאֲמָץ	ma'amàtz	effort
תֵּירוּץ	terùtz	excuse, pretext
מוּסָךְ		garage, auto repair
הִתְעָרְבוּת	hit'arvùt	intervention; bet
מַתֶּכֶת	matèchet	metal
דֶּגֶם	dègem	model
מוּסַר הַשְׂכֵּל		moral
לָחוּץ	lachùtz	nervous, stressed out
מְתַכְנֵת	metachnèt	programmer
כִּישּׁוּרִים	kishurìm	qualifications, capacity, skills
הַגְבָּלָה	hagbalà	restriction
סִיפּוּק	sipùk	satisfaction
עוֹד מְעַט		soon, shortly
נְטִיָּיה	netiyà	tendency, trend; verb conjugation
מָחֳרָתַיִים		the day after tomorrow
שִׁלשׁוֹם		the day before yesterday
לְפָרֵט	lefarèt	to describe, detail, elaborate
לְוַוֹתֵּר	levatèr	to give up, concede
לְנַחֵשׁ	lenachèsh	to guess
לְהַסְתִּיר	lehastìr	to hide (s.thing), cover; block view
לְהַשְׁקִיעַ	lehashkìa	to invest; sink, submerge
לַחֲזוֹת	lachazòt	to predict, forecast
לִשְׂרוֹד	lisròd	to survive
לְהַקְלִיד	lehaklìd	to type
לַחְשׁוֹשׁ	lachshòsh	to worry, fear
עדיפות עליונה		top priority
הַשְׁקָפָה	hashkafà	view
סוּפגָנִיָה		a deep-fried jelly doughnut (Hanukkah)
מוּפְשָׁט		abstract
נְגִישׁוֹת	negishùt	accessibility
צַהֲרוֹן		afternoon child care
כדור פורח		air baloon
אֲוִירוֹן		airplaine
שְׁנָתִי		annual
טִיעוּן		argument, claim
הְתחַמְשׁוּת		armament
מסודר		arranged
פָּגָז	pagàz	artillery shell
כָּנִדְרָשׁ		as requested
כִּרְצוֹנךָ		as you please
חוצפה		audacity
תַּרְמִיל	tarmìl	backpack
אִיזּוּן	izùn	balance, equilibrium
נֶשֶׁף	nèshef	ball, party, prom
מציאה		bargain
טִירוֹנוּת		bootcamp, military training
שִׁעֲמוּם		boredom
מַאֲגָר	ma'agàr	buffer; repository; stockpile; reservoir, database
מַעֲרָכָה	ma'arachà	campaign, battle
מבוטל		canceled
קַבַּרנִיט		captain
אִכְפַּת		cared, concern
מְזוּמָּן		cash
הַפְסָקַת אֵשׁ		ceasfire
תִּקְרָה	tikrà	ceiling
תָא		cell
תמורה		change
יְסוֹד כִּימִי		chemical element
גננת		child care teacher (f.)
עוֹבֵד נִיקָּיוֹן		cleaning service
נקיון		cleanliness
אַקְלִים		climate
סגירה		closure
הלבשה		clothing
מעונן		cloudy
מוֹעֲדוֹן	mo'adòn	club, clubhouse
צֵירוּף מִקְרִים		coincidence
צֵירוּף	tzerùf	combination, joining
תְּפִיסָה	tfisà	concept; perception
מבולבל		confused
צְרִיכָה	tzrichà	consumption
הֶמְשֵׁךְ	hemshèch	continuation
ספירה		counting
מָנוֹף	manòf	crane, lever
יוֹמָם וָלַיְלָה‎		day and night
החלטי		decisive
הַגְדָּרָה	hagdarà	definition, setting
גּוֹלָה	golà	diaspora
שׁוֹשֶׁלֶת		dynasty
יָעִיל	ya'ìl	effective, efficient
ביְעִילוּת		effectively, efficiently
יְעִילוּת	ye'ilùt	efficiency
חֲדַר מִיוּן		emergency room
הַנדָסָה		engineering; geometry
הגדלה		enlargement
צִיּוּד	tziyùd	equipment
בריחה		escape
דּוּגְמָנִית		fashion model (f.)
דּוּגְמָן		fashion model (m.)
חביב		favorite
קְרוֹבָה		female relative
בְּעַל פֶּה		from memory, by heart
מִלְּכַתְּחִילָּה		from the beginning
מזדקן		getting older
מְחוֹנָן	mechonàn	gifted
לְנוֹכָח		given, considering
נתינה		giving
זהוב		golden
הַדרָגָתִי		gradual
בְּהַדרָגָה		gradually
גיהינום		hell
מוֹעִיל	mo'ìl	helpful, useful, effective
אוֹפֶק	òfek	horizon
אָפְקִי		horizontal
מַדְּעֵי הַרוּחַ		humanities studies
אֶנוֹשִׁיוּת		humanity
קֶרַח	kèrach	ice
בלתי מובן		incompressible, misunderstood
הֲרֵי	harèi	indeed, after all
יְרוּשָּׁה	yerushà	inheritance
בְּתְּחִילָּה		initially
יֵצֶר	yètzer	instinct, impulse
הַשְׁקָעָה	hashka'à	investment; submersion
פְּנִימָה		inwards
חוֹסֶר אַחֲרָיוּת		irresponsability
הִתְנַחֲלוּת	hitnachalùt	Israeli settlement
הרובע היהודי		jewish quarter
רֵאָיוֹן עבודה		job interview
דרוּשים		job offers
שׁוֹפֵט	shofèt	judge, referee
שמירה		keeping
קְלִיד	klìd	key (piano)
מִקְלֶדֶת	miklèdet	keyboard
חָטוּף	chatùf	kidnapped, hostage
חֲטִיפָה	chatifà	kidnapping
הריגה		killing
מַמלָכָה		kingdom
מַלְכוּת		kingdom, monarchy
עזיבה		leaving, departure
אוֹרֶךְ חיים		life span
מוּגבָּל		limited, restricted
לטאה		lizard
עוֹמֶס	òmes	load, burden
מוֹעָצָה מְקוֹמִית‎		local council
אִיתּוּר	itùr	locating, tracking
מִיקוּם		location
אָרוֹך טְוַוח		long-term
נֶאֱמָן	ne'emàn	loyal
נֶאֱמָנוּת	ne'emanùt	loyality
שיגעון		madness
מְאוּיָּשׁ		manned, staffed
גַברִי		masculine
מַסֵכָה		mask
חברות		membership
המַעֲמָד הבֵּינוֹנִיִּים		middle class
חֲטִיבַת בֵּינַייִם		middle school (gr. 7-9)
טמבל		moron
אנוש		mortal
פִּטרִיָה		mushroom
פטריות		mushrooms
הדדי		mutual
מַדָעֵי הַטֶבַע		natural sciences
קֵן	kèn	nest
אֱגוֹז		nut
פתיחה		opening
זוּלָת		other, fellow man
אישית		personally
תּוֹפָעָה	tofa'à	phenomenon
מְקוֹם לֵידָה		place of birth
מְסַכֵּן	mesakèn	poor, unfortunate, miserable
מְאוּכלָס		populated
רִיבּוּי אוּכְלוּסִין		population growth
מַדְפֶּסֶת	madpèset	printer
בּוֹלֵט	bolèt	prominent
מבטיח		promising
מַלכָּה		queen
ציטוט		quote, citation
מתקבל על הדעת		reasonable, plausible
מַרדָן		rebel
הִתמַרְדוּת		rebellion
מַעֲרֶכֶת יְחָסִים		relationship
מחודש		renewed
שִׁיפּוּץ		renovation
תחליף		replacement
רוכב		rider
סיכון		risk
בגדול		roughly speaking
עגול		round
שִׁגְרָה	shigrà	routine
שִׁגְרָתִי		routine (adj.)
בשִגְרה	b'shigrà	routinely
מלכותי		royal
שַׁלִּיט		ruler, dominant
בְּטִיחוּת		safety
מֶכֶר		sale
רוֹטֶב	ròtev	sauce
רֶצֶף	rètzef	sequence, continuity
שרת		server
קְבִיעוֹת	kvi'òt	settings
הַגְדָּרוֹת	hagdaròt	settings (comp)
יֶרִי		shooting, firing
מִדְרָכָה	midrachà	sidewalk
חתום		signed
פַּשְׁטוּת		simplicity
בישיבה		sitting
רַמקוֹל		speakers
אִיּוּת	iyùt	spelling
עֲרָבָה	aravà	steppe, plain, praire
נִיתוּחַ		surgery; analysis, investigation
צְהוּבּוֹן		tabloid
בַּד		tissue
לְיַיצֵּא	leyatzè	to export
לְמַלֵּא		to fill out, make full
לִסְלוֹחַ		to forgive, excuse
לְהִתְרַחֵק		to move away
לְשַׁמֵּר		to preserve, mantain, conserve
לֶאֱסוֹר		to prohibit
לְקַדֵּם		to promote, advance
לְדַווֵּחַ		to report
לְהַרְחִיב		to widen, expand
סך הכול		total
מַגָּשׁ	magàsh	tray
משתמש		user
צפייה		viewing
אֶמְצָעֵי לְחימה		weapons
כָּנָף	kanàf	wing (animal, airpl.)
זכייה		winning
זְאֵב	ze'èv	wolf
סָבוּר		believing that, holding an opinion that
אַמִּיץ	amìtz	brave, courageous
סְתִירָה	stirà	contradiction
סוֹתֵר	sotèr	contradictory
אוֹמֶץ	òmetz	courage
הֶרְגֵּל	hergèl	habit
בִּפְרָט		in particular, especially, particularly
להציג את עצמי		introduce myself
הוֹדָעָה	hoda'à	message, notice
תַּעֲרוֹבֶת		mix
תִּיכְנוּת		programming
נוֹתָר	notàr	remained, left
שְׁתִיקָה	shtikà	silence
נָחָשׁ	nachàsh	snake
מַלְחִיץ	malchìtz	stressful
זְרִיחָה	zrichà	sunrise
תַּסְמִין	tasmìn	symptom
תַּחְבִּיר	tachbìr	syntax
לְהַעְתִּיק	leha'atìk	to copy
שָׁגוּי	shagùy	wrong
מוּטְעֶה		wrong, erroneous
הַפְשָׁטָה	hafshatà	abstraction
נגיש		accessible
בְּפוֹעַל		actually, in practice
קָדוּם		ancient
קַדמוֹן		ancient, primitive, ancestorial
יִישּׂוּמון	yisumòn	app, application
עוזר		assistant
גִּיבּוּי		backup, backing, support
דוב		bear
מֵאֲחוֹרֵי הַקְּלָעִים		behind the scenes
הֱיוֹת		being, existence (in expr.)
שַׁכּוּל	shakùl	bereaved
אַחֲוָוֹה	achavà	brotherhood, fraternity
כרוב		cabbage
פֶּחָם		coal
קוֹר		cold (noun)
תּנאָים		conditions (of an agreem.)
בלבול		confusion
הַדבָּקָה		contagion, infection; adhesion
בישול		cooking
תירס		corn
קובייה		cube
וילון		curtain
חתך		cut
הַצְהָרָה	hatzharà	declaration, statement
בִּיקּוּשׁ	bikùsh	demand (economics)
עומק		depth
הֵיעָלְמוּת	he'almùt	disappearance
כיפת הסלע		Dome of the Rock
אל תִּתְעַלֵּם ממני		don't ignore me!
חֲמוֹר	chamòr	donkey
זוגי		double
רִגשִׁי		emotional
מַעֲסִיק		employer
מְצוּיָּד		equiped
נָשִׁי		feminine
לֶהָבָה	lehavà	flame
קֶמַח	kèmach	flour
ממוקד		focused
לתקופה		for some time
לְשֶׁעָבַר		former, past
נוּסְחָה	nuschà	formula
נוּסַּח		formula, version, wording
פַּרוָוה		fur, skin
רד ממני		get off me!
חוֹמְרָה		hardware
שנוא		hated
רַב קוֹמוֹת		high rise (building)
גִבעָה		hill
רמז		hint
בּוּרוּת		ignorance
בּוּר		ignorant
מיידי		immediate
חוֹסֶר יְכוֹלֶת		incompetence
אדישות		indifference
אָדִישׁ		indifferent; inert (chemistry)
מעוניין		interested
מִמְשָׁק		interface
בָּרוּר מֵאֵלָיו ש־		it is obvious, trivial
בְּרָאשׁוּת		led by
קליל		light
מילה שְׁאוּלָה		loan word
תֵיבַת דוֹאַר		mailbox
רָאשִׁי		main, primary, chief
יוֹנֵק		mammal; infant
טבח		massacre
מפלצתי		monstrous
לְבָנָה		moon
יַתוּשׁ		mosquito
מרובה		multi
שרירי		muscular
מְנַגֵן		musician
אוּמָּה		nation, people
יָלִיד		native (of), indigenous
בְּהֶכְרֵחַ		necessarily
שטות		nonsense
שֶׁמֶן זַיִת		olive oil
פֶּלֶט	pèlet	output (comp.)
החוצה		outside
הַלבָּשָׁה עֶלִיוֹנָה‎		outwear
חַמְצָן		oxygen
צַלָּם		photographer
חָלוּץ	chalùtz	pioneer
בּוֹר		pit
רָצִיף	ratzìf	platform, dock, pier; continuous
וָעוֹד		plus sign (+)
מְנוּמָּס	menumàs	polite
בנימוס		politely
מְנִיעָה	meni'à	prevention
מִקְצוֹעִי		professional
יֶדַע מִקצוֹעִי		professional knowledge
מַדִּים	madìm	professional uniform
התקדמות		progress
עומס בכבישים		road congestion
נְדִידָה		roaming, wandering, migration
רִיצָה		run
מכירה		sale
לוויין		satellite
מִשְׁנִי		secondary, collateral
בכיר		senior
רגישות		sensitivity
מיני		sexual
מְנָיָה	menayà	share, stock market
מדף		shelf
מְיוּמָּנוּת	meyumanùt	skill
מְיוּמָּן	meyumàn	skilled
עֶבֶד	èved	slave
עַבְדוּת	avdùt	slavery
פְּרוּסָה	prusà	slice
חָלָק		smooth
חָטִיף	chatìf	snack
גַּרְבַּיִים	garbàyim	socks
מְפַתֵּחַ תוֹכנָה		software developer
מְהַנדֵס תוֹכנָה		software engineer
מִיּוּן	miyùn	sorting
חָלָל		space
יַצִּיבוֹת	yatzivòt	stability
יַצִּיב	yatzìv	stable
בעמידה		standing
עמידה		standing
דביק		sticky
גָּנוּב		stolen
סובל		suffering
חליפה		suit
תַּקְצִיר	taktzìr	summary, abstract (article)
חַמָה		sun
שִׁטחִי		superficial, shallow
מְתִיחוֹת	metichùt	tension (political)
מֶתַח	mètach	tension; voltage
נוראי		terrible
עֵדוּת		testimony, proof of evidence
חוק יסוד		The Basic Law
מֵיטָב	metàv	the best, optimum
גניבה		theft
מטפל		therapist
תֶּזָה		thesis
דקיק		thin, flimsy
פח		tin
פחית		tin
לְהַפְנִים		to absorb, internalize
לְהִיווָּלֵד		to be born
לְהִישָבֵר		to be broken
לְהִיקָּרֵא		to be called
לְהִיזָהֵר		to be careful
לְהֵירָדֵף		to be chased
לְהִתְנַהֵל		to be conducted (process)
לְהִתְקַלְקֵל		to be damaged
לְהִיגָּזֵר		to be derived
לִפְרוֹחַ		to bloom, bloom; hover
לִשְׂרוֹף		to burn
לְהִתְלוֹנֵן		to complain
לְהַשְׁלִים		to complete, finish, fill out
לְפַתֵחַ		to develop
לְהַאֲרִיך		to extend
לְסַנֵּן	lesanèn	to filter
לְבַרֵר		to find out, clarify
לְהִתְחַזֵק		to gather strength
לְהַכּוֹת		to hit, strike
לְהַגְבִּיר		to increase, enhance, boost
לִפְלוֹשׁ		to invade
לְנַשֵּׁק		to kiss
לֶאֱרוֹךְ		to last (time)
לְזַנֵּק		to leap, jump ahead
לְבַטֵּא		to pronounce word, express thought
לְפַרְסֵם		to publish, post; advertise
לִרְכּוֹב		to ride (horse, bike)
לְהִתְקַלֵּחַ		to take a shower
לְהִשְׁתַּלֵּט		to take control, take over
לִרְשׁוֹם		to take note, register, write
לְהַמְרִיא		to take off (airplane)
לִלְחוֹשׁ	lilchòsh	to whisper
רמזור		traffic lights
עָנָף	anàf	tree branch; industry
בִּלְתִּי מוּגְבָּל		unlimited
חֲסַר תַּקְדִּים		unprecedent
בִּלְתִּי סָבִיר		unreasonable, unlikely
עד לא מזמן		until recently
עד לאחרונה		until recently
רְאוּת		visibility
אגוז מלך		walnut
לוֹחָמָה		warfare
רחוץ		washed
רחיצה		washing
מְלָאכָה	melachà	work, labour
בֵּית מְלָאכָה		workshop
פֶּצַע		wound
פָּצוּעַ		wounded, injured
פִּיגּוּעַ	pigùa	attack, terror attack
החצר האחורית		backyard
הֶעָרָה	he'arà	comment, remark
מוּגזָם		exaggerated
הִשְׁתַּלְּמוּת	hishtalmùt	further education
הַלְוָוֹאָה	halva'à	loan
הַתְאָמָה	hat'amà	match; adjustement
מֵנִיעַ	menìa	motive, motivation
הוֹרָאָה	hora'à	order, instruction; teaching
מַגְלֵשָׁה	magleshà	playground slide
סְקִירָה	skirà	review, overview
הַלָּלוּ		these
להודות באשמה		to admit fault
לְהָפִיץ		to distribute, spread
לְהַפְסִיד	lehafsìd	to lose (money, game)
חֲסַר תוֹעֶלֶת		useless
שֶׁפַע		abundance
תַּחְמוֹשֶׁת	tachmòshet	ammunition
שַׁעְשׁוּעַ	sha'ashùa	amusement
מְעַצְבֵּן		annoying
הַכְרָזָה	hachrazà	anouncement, declaration
מַעֲרָךְ		array; lineup
קַשּׁוּב		attentive
משיכה		attraction
מושך		attractive
רִיבִּית		banking interest
שיעור ילודה		birth rate
תכול		blue
חוֹבֶרֶת		booklet
שָׁאוּל		borrowed
שְׁאִילָה	she'ilà	borrowing
ארגז		box
תֵיבָה		box
מָוֹעֳמָד	mo'omàd	candidate, nominee
קְרִיסָה		collapse
מסחרי		commercial
תלונה		complaint
שַׁמְרָן		conservative
עִיצוּר		consonant
מנוגד		contrary, opposite
הֲמָרָה		conversion, valute exchange
מתוקן		corrected
מוּשׁחָת		corrupt
פַּחְדָן		coward
בריאה		creation
פשע		crime
פּוֹשֵׁעַ		criminal
פְּלִילִי	plilì	criminal, penal
כֶּתֶר	kèter	crown
סקרנות		curiosity
המרת הכסף		currency exchange
זרם		current
שוטף		current
סַמָן		cursor, marker
ה"א היידוע		definitive article (hey)
ריבוי דמוגרפי		demographic growth
חֲטִיבָה	chativà	department; middle school; brigade (military)
תלותי		dependent
פירוט		detail
צוות הפיתוח		development team
מִתְקָן	mitkàn	device, facility
טַל		dew
הַפְרָעָה	hafra'à	disorder, interrupt
זִלזוּל		disrespect, contempt
גֵּרוּשִׁין		divorce
נהיגה		driving
חוֹבָה		duty
פַּסְחָא		Easter (christian festival)
שַׁגְרִירוּת	shagrirùt	embassy
ליווי		escort
הַעֲרָכָה	ha'arachà	estimation, assessment, evaluation
מַעְבּוֹרֶת	ma'abòret	ferry
לְחִימָה		fighting
הֲצָפָה		flood
הוֹן		fortune, capital, wealth
שָׁבִיר		fragile, breakable
מִלְמַעלָה		from above
מִגְדָּר	migdàr	gender
בוגר		graduate
אוזניות		headphones
שמיעה		hearing
מזוהה		identified
שָׁקוּעַ		immersed, sunk
בִּיצּוּעַ	bitzùa	implementation, execution
יִישּׂוּם	yisùm	implementation; application
יְבוּאָן		importer
שיפור		improvement
בְּמַקבִּיל		in parallel, at the same time
בסך		in total
בַּקָּרָה		inspection, control, supervision
הדרכה		instruction
בִּידּוּד		insulation; quarantine, isolation
מבודד		insulator
שלמות		integrity
מְיוֹעָד		intended, meant
הִתְעַצמות		intensification
משמח		joyful, happy, glad
מַעְבָּדָה	ma'abadà	laboratory
בעיקרה		largely, essentially
עָלֶה		leaf
מוֹרֶשֶׁת	morèshet	legacy, heritage
אגדי		legendary
הַלבָּשָׁה תַּחְתּוֹנָה‎		lingerie
רשימה מקושרת		linked list
הַאֲזָנָה		listening
מַנְעוּל		lock
בִּשְׁכִיבָה		lying
קוֹסֵם		magician, wizard
אַחְזָקָה		maintenance
תַּחְזוּקָה	tachzukà	maintenance
תִּמְרוֹן		maneuver
חֲצִיוֹן		median
שכלי		mental
כֶּפֶל	kèfel	multiplication
רצחני		murderous
פָּעוֹטוֹן		nursery
לִשְׁכָּה	lishkà	office
זקנה		old age
חנייה		parking
חניון		parking lot
מִשְׂרָה חֶלקִית		part-time
חֶלְקִי		partial
חֶלקִית		partially
משתתף		participant
שׁוּתָּף	shutàf	partner, accomplice
נִלְהָב	nilhàv	pasisonate, enthusiastic
מַעֲבָר		passage, transition
סִיסְמָה		password; slogan
נתיב		path
שביל		path
דְּפוּס	dfùs	pattern, template; printing
צירוף מילים		phrase (combination of words)
רָהִיט		piece of furniture
אָנָּא		please (formal)
רַעַל	rà'al	poison
רָעִיל	ra'ìl	poisonous
העדפה		preference
מְעַבֵּד	me'abèd	processor
מְחָאָה	mecha'à	protest
אַב טִיפּוּס		prototype
תכלית		purpose
רוֹבַע		quarter, block, neighbourbood
שאלון		questionnaire
מורם		raised
אַקְרָאִיּוּת		randomness
הכרה		recognition
מְגַיֵּיס	megayès	recruiter
תַּקָּנָה		regulaion (legal)
שִׁחְרוּר	shichrùr	release; emancipation; liberation
נציג		representative
מוניטין		reputation
דְּרִישׁוֹת		requirements
מְעַבֶּדֶת מֶחְקָר		research lab
מְנוּחָה		rest, relaxation
תְּחִייָּה		revival, renaissance, resurrection
מְגוּחָךְ	meguchàch	ridiculous, absurd
תַרְנְגוֹל	tarnegòl	rooster
סיבוב		rotation
הרוס		ruined
שְׁמוּעָה	shmu'à	rumor
הקרבה		sacrifice
שָׂכִיר	sachìr	salaried worker
מָלוּחַ		salty
מזכירה		secretary (f.)
מזכיר		secretary (m.)
מְאַבְטֵחַ		security guard
שׁוֹלֵחַ		sender
בנפרד ובנטייה		separately or conjugated
בַּדלָן		separatist
בּוּשָׁה	bushà	shame
מִשְׁמֶרֶת		shift (work)
ישנוני		sleepy
מַסְרִיחַ	masrìach	smelly
עָשָׁן		smoke, fume
מעשן		smoker
גֶרֶב		sock
מכור		sold
אִיחְסוּן		storage
דַּחַק	dàchak	stress, pressure
מָתוּחַ		stretced; tense, nervous
שביתה		strike (from work)
תת-יבשת		sub-continent
מחליף		substitute
חִיסּוּר	chisùr	substraction
התאבדות		suicide
דַרגַת חוֹם		temperature
מִידַה הַחוֹם		temperature
תְּלַת-מְמַדִּי		three-dimensional
לְהוֹדוֹת		to admit; aknowledge, thank
לְאַמֵּץ		to adopt
לְהִזְדַקֵן		to age
לְהַחְמִיר		to aggravate
לְכַוֵּוֹן	lechavèn	to aim, direct
לְהַרְשׁוֹת		to allow
לְנַתֵּחַ	lenatèach	to analyze; operate (med.)
לְהַכְרִיז		to announce, declare, make public
לְהָשִׁיב		to answer, reply
לְשַׁעֵר		to assume, suppose, imagine
לִכְעוֹס		to be angry
לְהִתְחַנֵּךְ		to be educated
לְהִתְלַהֵב		to be enthusiastic
לְהִתְבַּצֵּעַ		to be executed, achieved
לְהַאֲכִיל		to be fed
להתגמש		to be flexible
לְהִישָכַח		to be forgotten
לְהֵיאָסֵף		to be gathered / collected
לְהִישָּׁמַע		to be heard; obey
לְהֵיעָזֵר		to be helped
לְהִיפָּגַע		to be hurt
לַחֲלוֹת		to be ill
לְהִתְפַּעֵל		to be impressed, excited
לִנְטוֹת		to be inclined, tend
לְהִיפָּצֵעַ		to be injured
לְהֵיהָרֵג		to be killed
לְהֵיעָזֵב		to be left behind
לְהִידָלֵק		to be lit
לְהֵירָצַח		to be murdered
לְהֵיאָלֵץ	lehe'alètz	to be obliged, forced
לְהִימָּנֵעַ		to be prevented
לְהֵיהָגוֹת		to be pronounced
לְהִתְגָּאוֹת		to be proud
לְהֵירָשֵׁם		to be registered, be noted; subscribe
לְהִיתָּפֵשׂ		to be seen, perceived
לִשְתוֹק		to be silent
לְהֵיעָצֵר		to be stopped / arrested
לְהִילָּקֵחַ		to be taken
לְהִשְׁתַּייֵּךְ		to belong, be part of
לְהִתְעָרֵב		to bet; intervene, get involved
לְהִתְפָּרֵק		to break into pieces
לְהֵירָגֵעַ		to calm down, relax
